path	methods	auth_wrappers	perm_or_role_args	tenant_scoping	service_role_direct	tables_touched
app/api/v1/mpesa/c2b/route.ts	GET:28;POST:36		;		0	
app/api/v1/mpesa/callback/route.ts	POST:21	80:withAdminDb;95:withAdminDb	;	withAdminDb;	0	Safaricom,invoice_items,payments,the
app/api/v1/mpesa/disbursements/[id]/route.ts	POST:22	24:withPermission	payouts.manage;	ctx.groupId;	0	
app/api/v1/mpesa/disbursements/route.ts	GET:15	16:withPermission	payouts.manage;	ctx.groupId;	0	
app/api/v1/mpesa/qr/route.ts	POST:36	37:withAuth;47:withAdminDb	;	withAdminDb;ctx.groupId;	0	mpesa_qr_codes
app/api/v1/mpesa/reallocations/[id]/route.ts	POST:22	24:withPermission	treasury.manage;	ctx.groupId;	0	
app/api/v1/mpesa/reallocations/route.ts	GET:23;POST:36	24:withPermission;37:withPermission	treasury.manage;	ctx.groupId;	0	
app/api/v1/mpesa/reconcile/route.ts	POST:34;GET:64	52:withPermission;65:withPermission;67:withAdminDb	accounting.manage;	withAdminDb;ctx.groupId;	0	members,mpesa_reconciliations
app/api/v1/mpesa/reversal/route.ts	POST:32;GET:108	41:withAdminDb;58:withPermission;77:withAdminDb;109:withPermission;111:withAdminDb	treasury.manage;	withAdminDb;ctx.groupId;	0	members,mpesa_callbacks,mpesa_reversals
app/api/v1/mpesa/status/route.ts	GET:13	14:withAuth;27:withAdminDb	;	withAdminDb;ctx.groupId;	0	payments
app/api/v1/mpesa/stk-push/route.ts	POST:9	10:withAuth;13:withIdempotencyKey	;	ctx.groupId;	0	
app/api/v1/mpesa/stk-query/route.ts	GET:18;POST:49	19:withAuth;50:withAuth	;		0	
app/api/v1/mpesa/transaction-status/route.ts	POST:29	38:withAdminDb;59:withAuth;73:withAdminDb	;	withAdminDb;ctx.groupId;	0	mpesa_callbacks,mpesa_transactions
app/api/v1/mpesa/transactions/route.ts	GET:12	13:withPermission;37:withAdminDb	mpesa.view;	withAdminDb;ctx.groupId;	0	mpesa_transactions
app/api/v1/mpesa/unrouted/[id]/resolve/route.ts	POST:21	25:withPermission	payments.request;	ctx.groupId;	0	
app/api/v1/mpesa/unrouted/route.ts	GET:8	9:withPermission	mpesa.view;	ctx.groupId;	0	
app/api/v1/organization-invitations/complete/route.ts	POST:15		;		0	
app/api/v1/organization-invitations/confirm-email/route.ts	POST:14		;		0	
app/api/v1/organization-invitations/decline/route.ts	POST:14		;		0	
app/api/v1/organization-invitations/lookup/route.ts	POST:14		;		0	
app/api/v1/organization-invitations/verify-otp/route.ts	POST:13		;		0	
app/api/v1/organization/accounting/route.ts	GET:13	14:withOrganizationPermission	organization.accounting.view;	ctx.groupId;	0	
app/api/v1/organization/audit-logs/route.ts	GET:8	9:withOrganizationPermission	organization.audit_logs.view;	ctx.groupId;	0	
app/api/v1/organization/branding/route.ts	GET:12;PUT:19	13:withOrganizationPermission;20:withOrganizationPermission	organization.branding.manage;	ctx.groupId;	0	
app/api/v1/organization/dashboard/route.ts	GET:12	13:withOrganizationPermission	organization.dashboard.view;	ctx.groupId;	0	
app/api/v1/organization/disbursements/[id]/route.ts	POST:15	17:withOrganizationPermission	organization.disbursements.manage;	ctx.groupId;	0	
app/api/v1/organization/disbursements/route.ts	GET:17;POST:26	18:withOrganizationPermission;27:withOrganizationPermission	organization.disbursements.manage;	ctx.groupId;	0	
app/api/v1/organization/groups/route.ts	GET:7	8:withOrganizationPermission	organization.groups.view;	ctx.groupId;	0	
app/api/v1/organization/members/route.ts	GET:8	9:withOrganizationPermission	organization.members.view;	ctx.groupId;	0	
app/api/v1/organization/policies/route.ts	GET:17;PUT:24	18:withOrganizationPermission;25:withOrganizationPermission	organization.policies.manage;	ctx.groupId;	0	
app/api/v1/organization/profile/route.ts	GET:8	9:withOrganizationPermission	organization.profile.view;	ctx.groupId;	0	
app/api/v1/organization/programs/[id]/route.ts	PATCH:18;POST:30	22:withOrganizationPermission;34:withOrganizationPermission	capital.product.manage,organization.programs.manage;	ctx.groupId;	0	
app/api/v1/organization/programs/route.ts	GET:18;POST:35	19:withOrganizationPermission;36:withOrganizationPermission	organization.programs.manage;	ctx.groupId;	0	
app/api/v1/organization/reports/route.ts	GET:7	8:withOrganizationPermission	organization.reports.view;	ctx.groupId;	0	
app/api/v1/organization/wallet/route.ts	GET:15;POST:28	16:withOrganizationPermission;29:withOrganizationPermission	organization.wallet.view;	ctx.groupId;	0	
app/api/v1/payment-requests/[id]/route.ts	DELETE:10	12:withPermission	payments.request;	ctx.groupId;	0	
